GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2021-11-06,Bulls,76ers,2021,105,0.402,0.8,0.241,20,46,114,0.531,0.789,0.5,22,41,0
2021-11-06,Mavericks,Celtics,2021,107,0.526,0.857,0.333,19,40,104,0.488,0.688,0.29,20,36,1
2021-11-06,Suns,Hawks,2021,121,0.511,0.81,0.326,26,42,117,0.433,0.87,0.394,18,50,1
2021-11-06,Trail Blazers,Lakers,2021,105,0.379,0.75,0.273,22,52,90,0.344,0.792,0.281,20,59,1
2021-11-05,Pistons,Nets,2021,90,0.379,0.722,0.324,17,44,96,0.45,0.929,0.407,25,45,0
2021-11-05,Magic,Spurs,2021,89,0.393,0.7,0.293,23,43,102,0.444,0.889,0.316,23,48,0
2021-11-05,Wizards,Grizzlies,2021,115,0.583,0.538,0.4,34,53,87,0.354,0.765,0.194,19,39,1
2021-11-05,Raptors,Cavaliers,2021,101,0.424,0.556,0.444,20,45,102,0.458,0.842,0.333,22,39,0
2021-11-05,Bucks,Knicks,2021,98,0.402,0.762,0.372,19,37,113,0.427,0.808,0.25,16,59,0
2021-11-05,Timberwolves,Clippers,2021,84,0.348,0.714,0.327,17,42,104,0.409,0.813,0.214,18,62,0
2021-11-05,Warriors,Pelicans,2021,126,0.516,0.857,0.4,36,49,85,0.352,0.75,0.25,23,42,1
2021-11-05,Trail Blazers,Pacers,2021,110,0.488,0.867,0.436,27,42,106,0.489,0.6,0.333,28,40,1
2021-11-05,Kings,Hornets,2021,140,0.552,0.846,0.5,29,56,110,0.467,0.619,0.314,29,28,1
2021-11-04,Pistons,76ers,2021,98,0.402,0.895,0.306,21,41,109,0.494,0.682,0.375,22,49,0
2021-11-04,Hawks,Jazz,2021,98,0.427,0.808,0.25,18,32,116,0.506,0.739,0.415,30,46,0
2021-11-04,Heat,Celtics,2021,78,0.346,0.684,0.22,18,45,95,0.397,0.85,0.39,16,46,0
2021-11-04,Suns,Rockets,2021,123,0.473,0.913,0.452,29,46,111,0.432,0.857,0.344,25,43,1
